SampleName,Ag,Al,Ca,Cu,Fe,K,Mg,Mn,Na,Ni,P,Pb,Si,Sn,Ti,V,Zn
A,0.25,0.25,2.4,0.25,62,50,14,0.70,14,0.25,98,0.25,3.2,0.25,0.25,0.25,2.7
B,0.49,0.49,2.0,0.49,55,46,11,0.53,12,0.49,80,0.49,2.8,0.49,0.49,0.49,2.2
C,0.55,0.55,1.9,0.55,54,45,11,0.55,12,0.55,78,0.55,2.8,0.55,0.55,0.55,2.0
D,0.389,0.389,4.5,0.389,1.9,26,8.4,0.389,0.389,0.389,45,0.389,40,0.389,0.389,0.389,0.63
E,0.25,0.25,0.33,0.25,2.4,18,6.0,0.25,3.9,0.25,56,0.25,3.5,0.25,0.25,0.25,0.25
F,0.27,0.27,0.29,0.27,1.5,9.1,2.3,0.27,3.9,0.27,24,0.27,1.3,0.27,0.27,0.27,0.27
G,0.28,0.28,0.40,0.28,2.5,22,6.8,0.28,4.2,0.28,55,0.28,4.2,0.28,0.28,0.28,0.28
H,0.26,0.26,0.46,0.60,2.6,24,9.0,0.26,5.4,0.26,64,0.26,4.7,0.26,0.26,0.26,0.37
I,0.25,0.25,0.37,0.25,2.0,22,6.5,0.25,4.7,0.25,44,0.25,3.6,0.25,0.25,0.25,0.25
J,0.26,0.26,0.50,0.26,2.5,26,8.8,0.26,6.8,0.26,61,0.26,4.3,0.26,0.26,0.26,0.26
K,0.24,0.24,0.46,0.24,2.6,27,8.8,0.24,4.9,0.24,62,0.24,4.5,0.24,0.24,0.24,0.24
L,0.839,19,61,2.0,9745,1587,26,25,38,2.0,112,0.839,168,0.839,0.839,0.839,26
M,0.505,46,387,22,1420,2384,318,12,307,11,1192,0.96,490,1.0,2.9,0.73,120
N,0.25,0.25,0.31,0.25,0.25,1,1.1,0.25,1.0,0.25,13,0.25,0.25,0.25,0.25,0.25,0.25
O,0.28,0.28,1.2,0.28,2.1,7.9,2.3,0.28,2.1,0.28,29,0.28,1.6,0.28,0.28,0.28,0.28
P,0.27,0.27,0.29,0.27,1.5,9.1,2.3,0.27,3.9,0.27,24,0.27,1.3,0.27,0.27,0.27,0.27
Q,0.28,0.28,0.40,0.28,2.5,22,6.8,0.28,4.2,0.28,55,0.28,4.2,0.28,0.28,0.28,0.28
R,0.26,0.26,0.44,0.26,2.9,22,8.1,0.26,4.3,0.26,63,0.26,3.6,0.26,0.26,0.26,0.26
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
